네 여러분 안녕하십니까. 엄길청 입니다.,O O O PER-B O
첫 번째 인터뷰 시간입니다.,O O O O
올해 나온 줄리아 하트 오집에 처형 직전의 도스토옙스키라는 제목의 노래가 있거든요.,O O PER-B PER-I O O O O O O O
네 안녕하세요 최고의 요리 비결 박승우 입니다.,O O O O O PER-B O
네 안녕하세요,O O
그~ 한 길로 가야 될 사람들이고,O O O O O O
그러나 아무도 닦아주지 않는 화제의 코너입니다.,O O O O O O
단순한 성적이 아닌 학생의 학업 과정을 토대로 다양한 재능을 가진 학생을 선발하기 위해 도입된,O O O O O O O O O O O O O O
요즘 많은 사람들이 외로움을 극복하기 위해 반려동물을 키우지만,O O O O O O O O
그런데 우리에 경우에는 가석방 심사에 그런 인제 치료자들에 의견이 별로 반영이 안 되죠.,O O O ISSUE-B O O O O O O O O O
정부가 오는 이천이십일 학년도 대학수학능력시험 출제범위를 확정해 발표했습니다.,O O O O ISSUE-B O O O
정부에서는 이~ 교권하락의 이유로 지목하고 있는 것이,O O O O O O O
그 분이 이런 고민을 토로하는 거에요.,O O O O O O
자 지난 육 일 조두순 사건 을 계기로 촉발된,O O O O ISSUE-B ISSUE-I O O O
얼굴 평가가 왜라고 단순하게 생각할 수도 있지만,O O O O O O O
교정 교화를 위해서 어떤 시스템이 갖춰야 된다고 생각하세요?,O O O O O O O O
간편하고 빠르게 먹을 수 있어,O O O O O
자율주행 차량은 사차산업혁명 시대를 이끌 핵심 미래기술로 꼽힙니다.,O O ISSUE-B O O O O O
봄방학을 맞아 학생들 사이에서 간헐적 단식 다이어트가 인기입니다.,O O O O O O O O
네. 김어준 뉴스공장 삼붑니다.,O O O O
네.,O
네 안녕하세요,O O
네 안녕하세요?,O O
당시,O
네. 안녕하십니까 이비에스 초대석입니다.,O O O O
여러분 안녕하십니까.,O O
예. 말씀하십쇼.,O O
여러분 안녕하십니까. 초대석의 엄길청 입니다.,O O O PER-B O
네 안녕하세요 최고의 요리비결 박수홍 입니다.,O O O O PER-B O
네 안녕하세요,O O
네 안녕하세요?,O O
네.,O
네 뉴스공장 삼 붑니다.,O O O O
학생들이 자신이 내는 등록금을 직접 결정할 수 있도록 지난 이천십년 도입된 등록금심의위원회 제도 .,O O O O O O O O O O O ISSUE-B ISSUE-I O
이천십육 년 정유라 씨의 이화여대 부정입학 사건 이후 정부는,O O PER-B O ISSUE-B ISSUE-I ISSUE-I O O
지난 주 스포츠로 세계를 감동시킨 선수들이 있습니다.,O O O O O O O
근데 이렇게 여기서 생활 질서 규율을 배워야 되는 학생들이,O O O O O O O O O
전자바찌 발찌를 차고도 집에서 성범죄 를 저지른 사건이었는데.,O O O O ISSUE-B O O O
작 년에 그~ 성범죄 를 저지를 교수가 뭐~ 열명 가운데 네 명 정도가,O O O ISSUE-B O O O O O O O O O
사람들 중에 가장 많은 비율을 차지하는 사람 도대체 누군지,O O O O O O O O O
기술과는 거리가 멀어 보이는 문과생들이 관심사를 살려 한국사 컴퓨터 게임을 제작해 화제입니다.,O O O O O O O O O O O O
이천십팔 평창 동계올림픽 이 이제 이틀 앞으로 다가왔습니다.,ISSUE-B ISSUE-I ISSUE-I O O O O O
"새해를 맞아서 또 새 학기를 준비하면서 학교마다 새로운 목표와 교육정책 , 교육과정을 설정하는데요.",O O O O O O O O O ISSUE-B O O O
이 코너만 기다린다는 분들도 있습니다.,O O O O O
핸드백이라도 좀 주고,O O O
네 안녕하세요?,O O
네 안녕하세요,O O
네 안녕하세요 최고의 요리비결 박수홍 입니다.,O O O O PER-B O
여러분 안녕하십니까 이비에스 초대석에 엄길청 입니다.,O O O O PER-B O
가성비 타이어 안전운전에 동반자.,O O O O
우리나라 인구는 세계적으로 그 유래를 찾아보기 힘들 정도로,O O O O O O O O
친애하는 국민 여러분 안녕하십니까.,O O O O
여러분 안녕하십니까. 왕상한 입니다.,O O PER-B O
네 오늘 세 번째 인터뷰입니다.,O O O O O
네 안녕하세요 최고의 요리비결의 박수홍 입니다.,O O O O PER-B O
물론 다 정성으로 만드시겠지만,O O O O
네 안녕하세요,O O
자,O
네 김어준 뉴스공장 오늘 첫 인터뷰 시간입니다.,O O O O O O O
세계 각국 도시들이 공통적으로 직면한 문제가 있습니다.,O O O O O O O
사고력과 논리력을 키워주는 것으로 알려진 신문 교육.,O O O O O O O
문재인 대통령 이 청년일자리 정책을,PER-B ORG-B O O O
되게 아이러니컬하게 이게 우리가 지금 얼평당하기를 되게,O O O O O O O
학생들이 근로조건 열악한 거 뿐만 아니라 뭐~ 성희롱 성폭력 뭐~ 요런 것도 있었는데,O O O O O O O O O O O O O
현장실습생 사고가 오늘 어제 일이 아니에요.,O O O O O O
혹시 어릴 적에 얼평 받고 상처 받은 적 있어요?,O O O O O O O O O
일 인 미디어 크리에이터라고 아십니까?,O O O O O
최근 대학가에선 학교에 유리한 등심위 구조를 이용해,O O O O O O O
젊은 세대가 좋아하는 김치를 만들어 전 세계에 김치의 우수성을 널리 알리겠다는 청년사장이 있습니다.,O O O O O O O O O O O O O
네 김어준의 뉴스공장 두 번째 인터뷰 시간입니다.,O O O O O O O
네 사부 시작하겠습니다.,O O O
네 안녕하세요,O O
네 안녕하세요?,O O
네 안녕하세요 최고의 요리 비결의 박수홍 입니다.,O O O O O PER-B O
네. 첫 번째 인터뷰 다 못 다해서긴급으로 저희가 연장해서.,O O O O O O O O O
안녕하십니까. 왕상한 입니다.,O PER-B O
그리고 젊은 시절엔 대학가요제 도 나가셨네요.,O O O ISSUE-B O O
어제 끝난 이월 임시국회에서는 비리를 저지른 사립학교가 문을 닫으면,O O O O O O O O O
최고에 코너죠. 내부자 둘.,O O O O
안녕하세요 서늘한 마음썰의 서늘한 여름밤 입니다.,O O O PER-B PER-I O
뉴스공장 첫 번째 인터뷰 제 일공장 시간입니다.,O O O O O O O
네 시청자 여러분 새해 복 많이 받으십시오.,O O O O O O O
네 안녕하세요 최고의 요리비결의 박수홍 입니다.,O O O O PER-B O
